pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
USGEDX24UXPEEZEH,DGB Flexi Touch X-11 USB Led Light,DGB,http://www.flipkart.com/dgb-flexi-touch-x-11-usb-led-light/p/itmedx24bcd9ggm9?pid=USGEDX24UXPEEZEH,329,249,5.0
USGEDX24YE8JV76H,DGB Flexi Touch X-11 USB Led Light,DGB,http://www.flipkart.com/dgb-flexi-touch-x-11-usb-led-light/p/itmedx24bcd9ggm9?pid=USGEDX24YE8JV76H,329,249,5.0
SNRDZHPMS2JSVHG5,Jovees Anjeer & Carrot Sunblock (Pack of 2) - SPF 45,,http://www.flipkart.com/jovees-anjeer-carrot-sunblock-pack-2-spf-45/p/itmdzhpqaa4ckkx8?pid=SNRDZHPMS2JSVHG5,330,249,5.0
SBSDUTY7FUJGFGZZ,Bosch 2 608 521 038 Screwdriver Bit Set,Bosch,http://www.flipkart.com/bosch-2-608-521-038-screwdriver-bit-set/p/itmdv9u9bf7qeu5h?pid=SBSDUTY7FUJGFGZZ,343,249,5.0
CAGDW63HYZAJ4EK9,Cinthol Deo Spray - Dive (Pack of 2) Combo Set,,http://www.flipkart.com/cinthol-deo-spray-dive-pack-2-combo-set/p/itmdw63hy6prz9hf?pid=CAGDW63HYZAJ4EK9,350,209,5.0
CAGDW63HYZAJ4EK9,Cinthol Deo Spray - Dive (Pack of 2) Combo Set,,http://www.flipkart.com/cinthol-deo-spray-dive-pack-2-combo-set/p/itmdw63hy6prz9hf?pid=CAGDW63HYZAJ4EK9,350,209,5.0
CAGDW63HYZAJ4EK9,Cinthol Deo Spray - Dive (Pack of 2) Combo Set,,http://www.flipkart.com/cinthol-deo-spray-dive-pack-2-combo-set/p/itmdw63hy6prz9hf?pid=CAGDW63HYZAJ4EK9,350,209,5.0
CAGE2MACSFZRQEEV,French Factor Combo Set,,http://www.flipkart.com/french-factor-combo-set/p/itme2machbev9qpq?pid=CAGE2MACSFZRQEEV,360,209,5.0
CAGE53FSKAYSFUXG,Denver Deodorant No-13 Gift Set  Combo Set,,http://www.flipkart.com/denver-deodorant-no-13-gift-set-combo/p/itme53fsbmfaupzb?pid=CAGE53FSKAYSFUXG,360,209,5.0
SBSDUTY7NCF8T8TP,Bosch 2 608 521 041 Screwdriver Bit Set,Bosch,http://www.flipkart.com/bosch-2-608-521-041-screwdriver-bit-set/p/itmdv9u9c6pjzg8w?pid=SBSDUTY7NCF8T8TP,374,209,5.0
PBXEAEN4R6HUGZJV,www.thepaper.asia Floral Floral Art Canvas Leather Pencil Box,,http://www.flipkart.com/www-thepaper-asia-floral-art-canvas-leather-pencil-box/p/itmeaen4q9r6jtcr?pid=PBXEAEN4R6HUGZJV,375,189,5.0
PBXEAEN4R6HUGZJV,www.thepaper.asia Floral Floral Art Canvas Leather Pencil Box,,http://www.flipkart.com/www-thepaper-asia-floral-art-canvas-leather-pencil-box/p/itmeaen4q9r6jtcr?pid=PBXEAEN4R6HUGZJV,375,189,5.0
PBXEAEN4R6HUGZJV,www.thepaper.asia Floral Floral Art Canvas Leather Pencil Box,,http://www.flipkart.com/www-thepaper-asia-floral-art-canvas-leather-pencil-box/p/itmeaen4q9r6jtcr?pid=PBXEAEN4R6HUGZJV,375,189,5.0
SBSDUTY72YMGHEY6,Bosch 2 608 521 039 Screwdriver Bit Set,Bosch,http://www.flipkart.com/bosch-2-608-521-039-screwdriver-bit-set/p/itmdv9u9v8mvkfya?pid=SBSDUTY72YMGHEY6,375,189,5.0
CAGE2XC2CTC2TWRJ,Kamasutra Combo Set,,http://www.flipkart.com/kamasutra-combo-set/p/itme2xc2rxbytndd?pid=CAGE2XC2CTC2TWRJ,380,189,5.0
CAGE2XC2CTC2TWRJ,Kamasutra Combo Set,,http://www.flipkart.com/kamasutra-combo-set/p/itme2xc2rxbytndd?pid=CAGE2XC2CTC2TWRJ,380,189,5.0
PCSECTYTDV7DGJ4R,Natures Plus IMG_0004 Plant Container Set,Natures Plus,http://www.flipkart.com/natures-plus-img-0004-plant-container-set/p/itmectytn52wg7xj?pid=PCSECTYTDV7DGJ4R,390,159,5.0
